difficulty,question,choice_a,choice_b,choice_c,choice_d,correct_choice,explanation,concept_key,aspect_key,source_path
easy,What is a hub?,A Layer 2 device that forwards frames based on destination MAC addresses,A Layer 3 device that routes traffic between different IP subnets,A Layer 1 device that repeats incoming electrical signals out all other ports,A device that manages VLAN assignments across multiple switches,C,A hub is a Layer 1 device. It simply repeats an incoming electrical signal out every other port without inspecting frame contents or caring about the intended destination.,hub definition,hub repeats signals out all ports without inspecting frame contents,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
medium,Why would a network administrator assign the same VLAN to ports on two different physical switches?,So both switches share the same MAC address table and can forward frames without flooding,So a device on SW1 and a device on SW2 can communicate at Layer 2 as if they were on the same switch; requiring a trunk between the switches to carry VLAN-tagged frames between them,So the router can route between the VLAN on SW1 and the VLAN on SW2 using a separate physical link for each switch,VLANs cannot span multiple switches; each switch must have its own unique VLAN ID,B,VLANs can span multiple switches. For VLAN 10 to exist on both SW1 and SW2: the inter-switch link must be a trunk; both switches must have VLAN 10 configured; and devices on VLAN 10 ports of either switch can communicate as one Layer 2 segment.,cross-switch vlan design,same vlan on two switches requires trunk between them to carry vlan-tagged frames,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
medium,What did early Ethernet networks use before switches and why did this create performance and security problems?,Early Ethernet used bridges with four ports; performance was limited by bridge processing speed; security by bridge encryption overhead,Early Ethernet used routers in switching mode; performance suffered because IP routing is slower than MAC forwarding,Early Ethernet used hubs — shared media where all devices competed for bandwidth; collisions degraded performance as networks grew and all devices could see all traffic creating a security risk,Early Ethernet used token-ring topology where one device transmitted at a time; performance suffered from the token wait time,C,Early Ethernet: hub-based shared media. All devices in one collision domain — collisions multiplied with device count. Every device received every frame — passive capture trivial. Switches solved both problems: separate collision domains; and targeted frame delivery.,shared media ethernet,early ethernet used hubs creating shared collision domain and traffic visibility by all,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
medium,A phone is plugged into a switch access port that is also connected to a PC. The port is configured with both an access VLAN for data and a voice VLAN. How does the switch differentiate the traffic?,The switch inspects TCP port numbers to separate voice (UDP/RTP) traffic from data (TCP) traffic at Layer 4,The switch uses the IP DSCP marking to assign traffic to the data or voice VLAN,The IP phone tags its own voice traffic with the voice VLAN ID while the PC sends untagged data traffic; the switch separates them by presence or absence of the 802.1Q tag and its VLAN ID,The switch differentiates traffic by source MAC address since IP phones have a different OUI than PCs,C,Access port with voice VLAN: the IP phone understands 802.1Q and tags its voice frames with the voice VLAN ID. The PC sends untagged traffic. The switch receives both: tagged frames go to the voice VLAN; untagged frames stay in the access (data) VLAN. This allows one physical port to support both simultaneously.,voice vlan and phone behavior,ip phone tags voice traffic; pc sends untagged; switch separates by tag presence,/home/citadel/Documents/citavault/NETC-121/Notes List A - Video Content/Video 17 - Trunking and 802.1Q/Transcript.md
medium,What is the Layer 3 limitation of a standard Layer 2 switch and how does this affect VLAN design?,Layer 2 switches cannot process ARP requests so hosts in the same VLAN cannot resolve MAC addresses,Layer 2 switches forward based on MAC addresses and have no visibility into IP addresses; this means they cannot route between VLANs requiring a separate Layer 3 device for inter-VLAN traffic,Layer 2 switches require an IP address per port making large VLAN deployments cost-prohibitive,Layer 2 switches can only support a maximum of 16 VLANs due to their 4-bit VLAN ID field,B,Standard Layer 2 switching is MAC-based and VLAN-aware but IP-blind. For traffic to cross from VLAN 10 to VLAN 20 an IP routing decision must be made by a router or Layer 3 switch. This is why VLAN design always plans for a routing device at the VLAN boundary.,layer 3 visibility limitation,layer 2 switch uses mac not ip so inter-vlan traffic requires a layer 3 device,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
medium,Explain the DTP hardcoded trunk nuance where a manually configured trunk port may still send DTP messages.,A hardcoded trunk port uses DTP desirable mode internally because Cisco IOS treats manual configuration as an active request,A hardcoded trunk port sends DTP messages only if the other side is also in manual trunk mode,Manually configuring a port as trunk with switchport mode trunk may still allow the port to send DTP frames to the connected Cisco device; the full disabling of DTP requires also issuing switchport nonegotiate,Hardcoded trunk ports send DTP messages only to alert the administrator that the port cannot auto-negotiate,C,switchport mode trunk hard-codes the port in trunk mode but on Cisco IOS the port may still generate DTP frames. To completely stop DTP messages the additional command switchport nonegotiate is required. Without this; a connected Cisco device could still try to negotiate trunk parameters.,hardcoded trunk dtp nuance,switchport mode trunk still sends dtp frames; nonegotiate required to fully stop dtp,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
medium,Why does within-VLAN unknown unicast flooding stay within the VLAN and not escape to other VLANs?,Flooding is suppressed on trunk ports to reduce overhead on inter-switch links,The MAC table prevents flooding by always having entries for all ports in any VLAN,VLANs are separate Layer 2 broadcast domains; the switch only floods out ports that are members of the same VLAN as the ingress port,Flooding is blocked at VLAN boundaries by the router so it cannot propagate to other VLANs,C,Flooding respects VLAN membership. When an unknown unicast frame arrives on a VLAN 10 access port the switch floods it out all other VLAN 10 ports (access and trunk ports that carry VLAN 10) — not ports in other VLANs. VLAN isolation is maintained even during flooding.,within-vlan flooding scope,flooding only reaches ports in the same vlan respecting layer 2 vlan isolation,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
medium,What is the relationship between SSH and Telnet in terms of capability and what was the reason for Telnet's original design?,SSH and Telnet provide different functions: Telnet is for file transfer and SSH is for terminal access,SSH is a subset of Telnet that adds encryption; the full Telnet protocol includes SSH as an optional security mode,Both provide remote CLI access; Telnet was designed in 1969 before modern network security was a priority so encryption was not included; SSH was created later specifically to provide the same functionality with encryption,Telnet was deprecated in 1990 and replaced immediately by SSH; no modern devices support Telnet,C,Telnet dates back to 1969 when the internet was small and trusted. Encryption was not considered necessary then. SSH was developed later (1995) to provide the same remote terminal capability — encrypted. Telnet still works but its plaintext design makes it unsuitable for modern network management.,telnet historical context,telnet designed in 1969 before security concerns; ssh added encryption to same capability,/home/citadel/Documents/citavault/NETC-121/Notes List A - Video Content/Video 10 - Telnet and SSH/Transcript.md
medium,What is the effect on the MAC address table when a new device plugs into a port and transmits its first frame?,The MAC table entry for the new device's MAC address is deleted to force flooding until the device is verified,No change occurs because the MAC table is only updated by ARP replies from routers,The switch adds the new device's source MAC address and the port it arrived on as a new entry in the MAC table,The switch broadcasts an ARP probe to confirm the new MAC address is unique before adding it to the table,C,On the very first frame from a new device: the switch reads the source MAC address and the ingress port number and records them in the MAC table. This learning happens on every incoming frame that has a source MAC not currently in the table.,learning result,switch adds source mac and ingress port to mac table on first frame from new device,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
medium,What is the operational security principle behind hard-coding switch port modes?,Hard-coding reduces VLAN database replication traffic letting VTP operate more efficiently,Hard-coding increases the number of VLANs a switch can support by reserving DTP negotiation overhead,Intentional manual port configuration eliminates ambiguity about port roles and reduces the attack surface by preventing unauthorized trunk negotiation,Hard-coding is required because DTP is not supported on access ports and switchport mode must always be set explicitly,C,When port modes are hard-coded an administrator always knows exactly what every port is doing — access or trunk — and why. DTP negotiation is disabled on access ports. This removes a class of attack (unauthorized trunk formation) and makes the network behavior predictable.,operational security principle,hard-coding port modes eliminates ambiguity and prevents unauthorized trunk negotiation,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
medium,Why is it incorrect to say that switching decisions are based on IP addresses for a standard Layer 2 switch?,Switching decisions use MAC addresses for Layer 2 forwarding; IP addresses are used by routers at Layer 3; standard switches do not inspect the IP payload,Switches do inspect IP addresses but only to verify the VLAN assignment matches the IP subnet before forwarding,Switches use IP addresses for unicast forwarding but switch to MAC-based forwarding for broadcast frames,Cisco IOS switches always use IP addresses because Cisco IOS is a Layer 3 operating system regardless of switch model,A,Layer 2 switches make forwarding decisions based on destination MAC address in the Ethernet header. The IP packet is the payload of the Ethernet frame and the switch does not open it for standard forwarding. Only Layer 3 switches or routers use IP addresses to make routing decisions.,layer 2 scope,layer 2 switch uses destination mac not ip for forwarding decisions,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
medium,How does deploying VLANs improve network security compared to a flat switched network?,VLANs encrypt traffic between departments preventing hosts in other VLANs from decoding captured frames,VLANs restrict physical access to switch ports so only authorized personnel can connect devices,VLANs segment the network so a host in one VLAN cannot send or receive Layer 2 traffic destined for another VLAN eliminating a large class of Layer 2 attacks and accidental exposure,VLANs enable per-VLAN ARP inspection which prevents hosts from receiving traffic not addressed to them,C,In a flat network all hosts receive all broadcast traffic and can ARP-spoof or sniff for each other's traffic. VLANs isolate broadcast domains: hosts in different VLANs cannot directly communicate at Layer 2; a router mediates all inter-VLAN traffic providing an inspection point. This reduces the blast radius of a compromised host.,why vlans exist,vlans segment layer 2 so hosts in different vlans cannot directly exchange frames,/home/citadel/Documents/citavault/NETC-121/Notes List A - Video Content/Video 16 - VLANs Made Easy/Transcript.md
medium,An administrator manages a 3-switch network. Each switch has VLANs 10; 20; and 30 configured. They create VLAN 40 on the VTP server. What happens to the other two VTP client switches?,VLAN 40 must be manually created on each client switch because VTP only replicates VLAN deletions,VLAN 40 is automatically added to the VLAN database on both VTP client switches and the administrator must still manually assign access ports to VLAN 40 on each switch,VLAN 40 is automatically added to both client switches including automatic port assignment based on the VLAN name,Nothing happens until the administrator runs copy running-config startup-config on the VTP server to push the update,B,VTP propagates the VLAN database (ID and name) to all clients. Creating VLAN 40 on the server causes both clients to add VLAN 40 to their VLAN table automatically. However VTP does not assign ports — the admin must still manually run switchport access vlan 40 on the relevant ports of each switch.,vtp benefit and limitation,vtp adds vlan 40 to clients automatically but port assignment must still be done manually,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
medium,What is the conceptual difference between the VLAN operating layer and the router's operating layer and why does this matter for traffic between departments?,VLANs and routers both operate at Layer 2; the distinction is only marketing terminology,VLANs operate at Layer 4 for session tracking; routers operate at Layer 2 for frame delivery,VLANs operate at Layer 2 (MAC-based); routers operate at Layer 3 (IP-based); inter-VLAN traffic must be carried from the Layer 2 domain to a router which makes an IP forwarding decision to return it to the correct VLAN,VLANs operate at Layer 3 and can route independently; routers are only needed for internet access,C,VLANs are a Layer 2 construct: they segment MAC-based broadcast domains. Routers are Layer 3: they forward based on IP prefixes. When Host A (VLAN 10; IP 192.168.10.5) needs to reach Host B (VLAN 20; IP 192.168.20.5) the packet leaves Layer 2 domain VLAN 10; is routed by the router's IP forwarding; and enters Layer 2 domain VLAN 20.,vlan operating layer,vlans are layer 2; inter-vlan requires router to make layer 3 ip forwarding decision,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
medium,What is the purpose of the 802.1Q tag requirement for VLAN-aware devices on a trunk?,Any device that does not understand 802.1Q will see the VLAN tag as data corruption and drop the frame; VLAN-aware devices strip the tag for processing,802.1Q tags are only required on router interfaces; switches can forward tagged frames without reading the tag,VLAN-aware devices must add a second tag for ISL encapsulation before forwarding 802.1Q frames,802.1Q tags force all devices on the trunk to operate at the same speed,A,The 802.1Q tag is non-standard to older devices. A device that does not know about VLAN tagging may misinterpret the tag bytes as part of the frame payload or reject the frame as malformed. Trunk links must connect VLAN-aware devices that understand how to insert; read; and strip 802.1Q tags correctly.,need for vlan-aware devices,non-vlan-aware devices cannot process 802.1q tags and will misinterpret or drop tagged frames,/home/citadel/Documents/citavault/NETC-121/Notes List A - Video Content/Video 17 - Trunking and 802.1Q/Transcript.md
medium,How does the subnet connectivity role of a router differ from the VLAN-segmentation role of a switch?,Routers create VLANs; switches route between them,Routers assign MAC addresses to each subnet; switches assign IP addresses to each VLAN,A switch creates logical Layer 2 separation between VLANs; a router connects those separate IP subnets enabling traffic to flow between them at Layer 3,Routers and switches perform identical functions — the distinction is only the number of ports,C,Switch role: create VLANs as separate Layer 2 broadcast domains. Router role: connect those VLANs' IP subnets together at Layer 3. Each device has a complementary role in a properly segmented network — switches segment; routers connect.,subnet connectivity role,switch segments vlans at layer 2; router connects their ip subnets at layer 3,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
medium,When is Ethernet considered to have overcome legacy networking systems like ARCNET and Token Ring?,In the 1960s when the ARPANET adopted Ethernet as its standard link-layer protocol,Token Ring and ARCNET are still in use today in industrial networks and have not been fully replaced,Ethernet was invented in the late 1970s; became commercially available in 1980; and eventually displaced competing systems like ARCNET and Token Ring due to its scalability and cost advantages,Token Ring defeated Ethernet in enterprise networks until 802.11 Wi-Fi made both obsolete simultaneously,C,Ethernet was invented at Xerox PARC in the late 1970s and commercialized in 1980. Over the following years it outcompeted alternatives like ARCNET and Token Ring because it scaled better and became cheaper. It is now the dominant wired LAN standard.,ethernet historical note,ethernet invented 1970s commercialized 1980 eventually replaced arcnet and token ring,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
medium,On a shared Ethernet segment a host receives a frame. Its destination MAC does not match the host's own MAC. What does the host do in normal operation vs. promiscuous mode?,Normal operation: the host processes the frame and replies; promiscuous mode: the host drops the frame silently,Normal operation and promiscuous mode behave identically for non-matching frames,Normal operation: the host discards the frame; promiscuous mode: the host passes the frame to the OS for capture and analysis,Normal operation: the host sends an ICMP reject; promiscuous mode: the host forwards the frame to the next device,C,Ethernet packet screening: in normal operation a host checks the destination MAC; if it does not match the host's own MAC or the broadcast address the frame is discarded at the NIC level. In promiscuous mode (used by Wireshark and similar tools) the NIC passes all frames to the OS regardless of destination MAC — enabling passive traffic capture.,ethernet packet screening behavior,normal mode discards non-matching frames; promiscuous mode captures all frames,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
medium,What is the VPN tunnel concept and why is it called a tunnel?,VPN tunnels are called tunnels because they traverse underground fiber optic cable infrastructure,VPN tunnel refers to the logical path through a router's internal routing table from source to destination subnet,A VPN is called a tunnel because the encrypted connection creates an isolated protected path through the public internet; from an outsider's view traffic appears as opaque encrypted data traversing the public network,VPN tunnels are called tunnels because they encapsulate IPv4 packets inside IPv6 for compatibility across dual-stack networks,C,A VPN tunnel encapsulates encrypted data inside packets that cross the public internet. The contents are opaque to anyone along the path — only the endpoints can decrypt them. The analogy to a physical tunnel: the path passes through shared space but the contents are isolated and protected from the surrounding environment.,vpn tunnel concept,vpn tunnel creates encrypted isolated path through the public internet,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
medium,A switch port connects to a second switch rather than a single host. What are the implications for the MAC address table and forwarding?,The switch can only store one MAC per port so traffic from the downstream switch will be dropped after the first host is learned,The switch stores multiple MAC addresses on the port that leads to the downstream switch one for each host reachable through it,The switch disables learning on uplink ports and always floods inter-switch frames,The switch creates a separate MAC table for each switch in the network to avoid MAC address conflicts,B,A switch port leading to another switch will have multiple MAC addresses associated with it — one for each host that is reachable through that link. The switch records all of them as learned on the upstream port. This is how MAC tables scale to multi-switch networks.,multiple macs on one port,switch learns multiple mac addresses on an uplink port one per reachable downstream host,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
medium,What is the administrative advantage of manually creating VLANs and assigning ports rather than relying on automatic or dynamic VLAN assignment?,Automatic VLAN assignment is more accurate than manual assignment because it uses the device MAC database,Manual creation gives administrators explicit control over which devices belong to which broadcast domain preventing accidental or unauthorized VLAN membership,Manual VLAN assignment is required because dynamic assignment is not supported on any managed switch,Automatic VLAN assignment requires a VTP server which is a single point of failure; manual assignment avoids this dependency,B,VLAN membership determines what a device can and cannot reach at Layer 2. Explicit manual assignment ensures the administrator intentionally controls this access. Misassignment means a device might land in the wrong broadcast domain accessing resources it should not. Manual control is part of the security discipline of VLAN design.,manual vlan administration,manual vlan and port assignment gives explicit control over broadcast domain membership,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
medium,How does a switch bridge two different link speeds such as a 1 Gbps host port and a 100 Mbps printer port?,The switch reduces the host port speed to 100 Mbps to match the printer and prevents loss,The switch requires both ports to run at the same speed and will not forward frames if speeds differ,The switch buffers incoming frames in memory adapting to the speed difference so both devices can operate at their native rates and frames are not dropped due to the speed gap,The switch sends the frame at 1 Gbps to the 100 Mbps printer and the printer buffers the excess,C,Switch buffers allow speed adaptation. A 1 Gbps frame arriving for a 100 Mbps destination port is stored in the switch's buffer. The switch then transmits it out the 100 Mbps port at that port's native rate. This is one of the fundamental functions of switch buffering — absorbing speed mismatches between ports.,bridge speed adaptation role,switch buffers frames to adapt between different link speeds on ingress and egress ports,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
medium,What happens to a Telnet session when an attacker runs a packet capture tool on the same network segment?,The attacker can capture the TCP segments but cannot read the content because Telnet compresses its payload,The attacker captures only the packet headers; the Telnet session body is encrypted by the OS TCP stack,The attacker must send a MITM redirect first; a passive capture cannot read Telnet because the session uses challenge-response authentication,The attacker captures the packets and can read all usernames; passwords; commands; and output in plaintext from the captured data,D,Telnet sends everything in cleartext. A network capture tool (Wireshark; tcpdump) on the same segment captures all Telnet packets and the payload — which is the entire terminal session — is human-readable. No decryption needed. This is the fundamental reason Telnet is inappropriate for managing network infrastructure.,why plaintext is dangerous,telnet session is fully readable in packet captures including all credentials and commands,/home/citadel/Documents/citavault/NETC-121/Notes List A - Video Content/Video 10 - Telnet and SSH/Transcript.md
medium,What is the conceptual relationship between the switch VLAN database and the trunk link in enabling the same VLAN to span two switches?,The VLAN database on each switch independently assigns IP addresses that the trunk link uses to route between VLANs,The trunk link carries all VLAN traffic as untagged frames and the receiving switch reassigns the VLAN based on its local port mapping,Both switches must have the VLAN ID in their VLAN database; the 802.1Q trunk link carries tagged frames preserving the VLAN ID so the receiving switch delivers frames to the correct VLAN ports,The VLAN database is only needed on the VTP server; the trunk link propagates VLAN membership to client switch ports automatically,C,For VLAN 10 to span two switches: (1) VLAN 10 must exist in both switches' VLAN databases (via VTP or manual config); (2) the inter-switch link must be a trunk; (3) the trunk must allow VLAN 10; (4) the trunk uses 802.1Q tags to identify which frames belong to VLAN 10. Without all three elements the VLAN cannot span both switches.,cross-switch vlan design,vlan must exist in both databases and trunk must carry tagged frames for vlan to span switches,/home/citadel/Documents/citavault/NETC-121/Notes List A - Video Content/Video 17 - Trunking and 802.1Q/Transcript.md
hard,A switch has three ports in VLAN 10 (ports 1-3) and two ports in VLAN 20 (ports 4-5). A broadcast arrives on port 1. Which ports receive the frame and why do ports 4 and 5 not receive it?,Ports 2; 3; 4; and 5 receive the broadcast because broadcasts always reach all switch ports,Only port 1 receives a copy because the switch mirrors broadcasts to the source port,Ports 2 and 3 receive the broadcast because VLANs are separate Layer 2 broadcast domains and the switch only floods within VLAN 10,Ports 2; 3; and 4 receive the broadcast; port 5 is excluded as it is furthest from port 1,C,Broadcast flooding respects VLAN membership. The frame arrives in VLAN 10 (port 1). The switch floods it out all other VLAN 10 ports (ports 2 and 3). Ports 4 and 5 are in VLAN 20 — a separate broadcast domain. They do not participate in VLAN 10 broadcasts. VLAN segmentation is the mechanism that stops cross-VLAN flooding.,broadcast-domain reduction,vlan 10 broadcast floods only to vlan 10 ports; vlan 20 ports are a separate domain,/home/citadel/Documents/citavault/NETC-121/Notes List A - Video Content/Video 16 - VLANs Made Easy/Transcript.md
hard,SW1 has one trunk link to SW2. Both switches have VLANs 10; 20; and 30. A packet enters SW1 on a VLAN 10 access port and needs to reach a host in VLAN 20 on SW2. What path does it take and what devices participate?,The packet crosses the SW1-SW2 trunk tagged as VLAN 10; SW2 strips the tag and forwards it to the VLAN 20 port,The packet crosses the trunk; SW2 performs inter-VLAN routing and delivers it to VLAN 20 without a router,The packet stays in VLAN 10 and the destination host's VLAN 20 assignment is temporarily changed to allow the delivery,The packet leaves SW1 to a router (via VLAN 10); the router routes it to VLAN 20; the router sends it back to SW2 via a VLAN 20 link; SW2 delivers it to the destination host on a VLAN 20 access port,D,Layer 2 cannot cross VLAN boundaries. The packet: (1) exits SW1 on VLAN 10 toward the default gateway router; (2) router strips L2; inspects IP destination; routes to VLAN 20 subnet; (3) router sends frame tagged or over VLAN 20 link to SW2; (4) SW2 delivers to the VLAN 20 access port. A router is mandatory in the path.,inter-vlan routing requirement,inter-vlan cross-switch traffic requires a router; switches alone cannot route between vlans,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
hard,An administrator notices that after a network move a switch port connecting to a downstream switch has hundreds of MAC addresses in the MAC table but the previous port only had a few. What does this indicate and is it a problem?,Hundreds of MAC addresses on one port indicates a broadcast storm and must be remediated immediately by disabling the port,Multiple MAC addresses on one uplink port is normal — each reflects one host reachable through the downstream switch; the count growing with more downstream hosts is expected behavior,Multiple MAC addresses on one port is a sign of a MAC address table overflow attack and indicates all frames are being flooded,Multiple MAC addresses on one port indicates a misconfigured trunk which is sending all VLAN traffic unsegregated,B,A switch port connected to another switch learns a MAC address for every host that communicates through that link. Hundreds of MACs on an uplink port in a multi-switch network is normal and expected. It would only be a concern if unknown addresses appear (rogue devices) or if the numbers exceed expected host counts.,multiple macs on one port,multiple macs on uplink port is normal; each represents one reachable downstream host,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
hard,A router-on-a-stick configuration has subinterface fa0/0.10 with encapsulation dot1Q 10 and IP 192.168.10.1 and subinterface fa0/0.20 with encapsulation dot1Q 20 and IP 192.168.20.1. A host in VLAN 10 (IP 192.168.10.5) sends a packet to a host in VLAN 20 (IP 192.168.20.10). Trace the exact Layer 2 and Layer 3 steps.,The switch inspects the IP destination and routes between VLANs directly without involving the router,Host sends untagged frame; router receives it; adds VLAN 20 tag; sends back to the switch; switch delivers to VLAN 20 host,Host ARPs for gateway 192.168.10.1; gets router MAC; sends Ethernet frame (src: host10 MAC; dst: router MAC; VLAN 10 tag on trunk) to router; router decapsulates; routes to 192.168.20.10; ARP for host20 MAC; sends Ethernet frame (VLAN 20 tag) to switch; switch delivers to host20 access port stripped of tag,Host sends frame directly to VLAN 20 destination IP; switch sees the IP and forwards it using VLAN 20 MAC table entry,C,Step-by-step: (1) host10 ARPs for 192.168.10.1 (gateway); switch forwards to trunk; router responds on fa0/0.10; (2) host10 sends IP packet in Ethernet frame (dst MAC = router; dot1Q VLAN 10 tag on trunk); (3) router receives on fa0/0.10; strips L2; sees IP dst 192.168.20.10; routes to fa0/0.20; (4) router ARPs for host20 on VLAN 20; (5) router sends frame tagged VLAN 20; switch strips tag on access port; delivers to host20.,router-on-a-stick definition,router-on-a-stick inter-vlan routing path involves arp gateway mac routing and re-tagging,/home/citadel/Documents/citavault/NETC-121/Notes List A - Video Content/Video 17 - Trunking and 802.1Q/Transcript.md
hard,Why does a MAC address table overflow attack (MAC flooding) cause a switch to behave like a hub and what is the security consequence?,MAC flooding removes all VLAN assignments from the MAC table causing the switch to assign all ports to VLAN 1 and flood all frames within VLAN 1,MAC flooding causes the switch CPU to restart which temporarily disables all 802.1Q tagging turning trunk ports into access ports,When the MAC table is full the switch cannot learn new MAC addresses and must flood all subsequent unknown unicast frames out all ports in the VLAN allowing an attacker on any port to capture traffic intended for other devices,MAC flooding corrupts the FCS on all frames causing all devices to retransmit simultaneously overwhelming the switch buffer,C,Switch MAC tables have finite size. An attacker sends thousands of frames with random source MACs filling the table. Now when legitimate frames arrive the switch cannot find the destination in the (full) table so it floods — like a hub. All devices in the VLAN receive all unicast traffic enabling passive capture. Port-security mitigates this by limiting learned MACs per port.,switch learning,mac table overflow forces flooding of all unicast frames enabling traffic capture,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
hard,How does NAT return traffic work in detail when multiple internal hosts simultaneously access the same external web server?,The router sends all replies to the host that made the most recent request dropping the others,The router uses the VLAN ID from the original request to identify which internal host should receive each reply,The router broadcasts each reply to all internal hosts and each host accepts only the packet with its own IP,The router tracks source IP; source port; and translated port for each session so each reply is uniquely mapped back to the correct internal host using the port-session table,D,NAT maintains a session table: each entry stores (internal IP; internal port; external IP; external port; translated port). Multiple hosts contacting the same server will each have a unique translated port. When replies arrive the router matches the destination port to the session table and restores the correct internal IP and port before forwarding inward.,nat session tracking,nat uses port-session table to demultiplex replies from same server to multiple internal hosts,/home/citadel/Documents/citavault/NETC-121/Notes List B - Textbook Content/Textbook 1 - Chapter 3 Switches, Routers, and VLANs/Book 1 Chapter 3 - Switches, Routers, and VLANs.md
hard,A network has departments A and B on the same physical switch. Department A must never be able to send or receive traffic from Department B at any layer. What is the design requirement and why is VLAN isolation alone insufficient?,VLANs alone are sufficient because they prevent all Layer 2 and Layer 3 communication between the segments,NAT between VLANs provides absolute isolation; VLAN segmentation is only needed for broadcast reduction,Assign both departments to different VLANs with different subnets and do not configure inter-VLAN routing between them; VLAN isolation prevents Layer 2 communication; and without a routing path there is no Layer 3 path either — combined this achieves network-layer isolation; physical isolation is only needed for absolute air-gap requirements,VLAN isolation is sufficient at Layer 2 but each VLAN needs its own dedicated switch to prevent Layer 1 crosstalk,C,VLANs isolate Layer 2. Without inter-VLAN routing (no router between the VLANs; no Layer 3 switch routing between them) there is also no Layer 3 path. Together this achieves network isolation. If absolute air-gap is needed (no shared hardware at all) then physically separate switches are required — but that is not usually mandated by network policy alone.,physical vs vlan separation,vlan plus no routing path achieves network isolation; air-gap requires physical separation,/home/citadel/Documents/citavault/NETC-121/Notes List A - Video Content/Video 16 - VLANs Made Easy/Transcript.md
